HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD192310,2455845.58539,-5.09,1.19,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn09.448
HD192310,2455845.58763,-5.02,1.12,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn09.449
HD192310,2455845.58971,-7.15,1.09,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn09.450
HD192310,2455845.59194,-3.99,1.11,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn09.451
HD192310,2456094.75617,0.06,1.11,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn11.1122
HD192310,2456094.75877,-0.28,1.12,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn11.1123
HD192310,2456094.76157,0.78,1.06,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn11.1124
HD192310,2456145.66590,-3.31,1.07,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn12.793
HD192310,2456176.57953,-2.21,1.17,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn13.507
HD192310,2456428.81308,-2.71,0.88,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.94
HD192310,2456428.81601,-2.26,0.82,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.95
HD192310,2456428.93126,-2.33,0.83,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.113
HD192310,2456428.93381,-3.21,0.93,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.114
HD192310,2456432.88281,-0.03,0.65,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.452
HD192310,2456432.88447,0.17,0.70,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.453
HD192310,2456432.88597,0.14,0.65,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.454
HD192310,2456432.88774,0.08,0.75,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.455
HD192310,2456432.93034,0.03,0.70,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.459
HD192310,2456432.93209,-0.18,0.70,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.460
HD192310,2456432.93393,0.13,0.69,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.461
HD192310,2456433.80397,-1.66,0.74,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.590
HD192310,2456433.80650,-2.02,0.70,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.591
HD192310,2456433.90431,0.29,0.73,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.604
HD192310,2456433.90734,0.60,0.67,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.605
HD192310,2456434.82946,-0.37,0.76,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.742
HD192310,2456434.83116,-0.12,0.69,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.743
HD192310,2456434.83287,0.36,0.72,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.744
HD192310,2456434.92643,-0.45,0.75,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.751
HD192310,2456434.92800,-0.06,0.65,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.752
HD192310,2456434.92957,-1.95,0.71,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.753
HD192310,2456434.93118,-1.79,0.71,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.754
HD192310,2456437.74981,-3.71,0.60,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.1250
HD192310,2456437.75231,-2.84,0.63,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.1251
HD192310,2456438.81520,-6.09,0.80,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.1439
HD192310,2456438.81725,-5.60,0.85,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.1440
HD192310,2456438.81931,-5.82,0.81,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.1441
HD192310,2456439.80850,-5.90,0.84,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn16.1589
HD192310,2456502.76400,-7.55,1.09,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn17.273
HD192310,2456550.58003,-5.38,1.10,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn18.187
HD192310,2456552.58833,-4.35,1.29,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn18.431
HD192310,2456552.59065,-5.43,1.28,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn18.432
HD192310,2456556.55275,-0.59,1.07,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn18.871
HD192310,2456612.51337,-4.40,1.02,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn19.2123
HD192310,2456612.51506,-4.96,1.08,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn19.2124
HD192310,2456612.51683,-4.37,1.01,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn19.2125
HD192310,2456816.85051,-3.23,1.12,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn22.102
HD192310,2456816.85241,-4.88,1.24,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn22.103
HD192310,2456816.85457,-1.15,1.30,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn22.104
HD192310,2456822.87616,-0.27,1.23,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn22.1068
HD192310,2457319.54735,1.02,2.10,PFS-Pre,-1.0000,-1.0000,-1.0000,-1.0000,rn29.68
