HD,HIP,_tab3_3,RVel,e_RVel,Inst
219134,,2456589.862969,0.02,0.66,apf
219134,,2456590.568368,4.42,0.66,apf
219134,,2456591.799527,3.25,0.67,apf
219134,,2456596.598857,3.29,1.22,apf
219134,,2456597.882566,3.51,0.82,apf
219134,,2456606.702660,3.08,0.82,apf
219134,,2456607.756631,-3.00,0.83,apf
219134,,2456610.793904,-3.77,0.89,apf
219134,,2456611.709546,-1.44,1.15,apf
219134,,2456614.511719,0.55,1.14,apf
219134,,2456619.774718,3.10,0.98,apf
219134,,2456622.959008,-0.86,1.19,apf
219134,,2456624.782287,1.07,1.39,apf
219134,,2456626.568508,-0.72,0.87,apf
219134,,2456628.813094,-3.43,0.80,apf
219134,,2456629.601135,-3.66,1.60,apf
219134,,2456631.799291,-4.96,2.82,apf
219134,,2456632.807509,3.00,1.60,apf
219134,,2456644.788729,21.36,3.21,apf
219134,,2456647.630785,8.57,1.18,apf
219134,,2456648.625593,6.70,1.12,apf
219134,,2456662.766544,3.53,1.07,apf
219134,,2456663.580518,1.35,1.20,apf
219134,,2456667.829222,4.19,1.27,apf
219134,,2456674.675461,1.96,1.00,apf
219134,,2456675.570321,-1.24,0.75,apf
219134,,2456678.648111,-1.14,1.08,apf
219134,,2456679.701494,3.30,1.19,apf
219134,,2456682.766144,6.20,1.62,apf
219134,,2456683.479769,6.99,0.83,apf
219134,,2456689.607452,9.99,1.45,apf
219134,,2456705.723546,3.91,1.27,apf
219134,,2456788.935068,3.81,1.93,apf
219134,,2456792.675492,-1.06,1.01,apf
219134,,2456793.969852,0.89,0.99,apf
219134,,2456796.895271,-1.98,2.26,apf
219134,,2456800.913610,1.33,2.44,apf
219134,,2456801.927245,1.33,2.44,apf
219134,,2456804.895586,-2.24,1.32,apf
219134,,2456805.938493,-3.56,3.06,apf
219134,,2456809.131100,-5.43,1.30,apf
219134,,2456816.835190,-3.36,1.44,apf
219134,,2456817.816451,-4.18,1.20,apf
219134,,2456821.884269,-1.78,1.44,apf
219134,,2456822.847209,5.11,1.56,apf
219134,,2456825.840740,0.21,1.25,apf
219134,,2456826.725024,0.41,0.94,apf
219134,,2456831.755305,3.25,1.18,apf
219134,,2456835.871165,-0.80,1.59,apf
219134,,2456841.680338,4.35,1.29,apf
219134,,2456843.763395,1.24,1.20,apf
219134,,2456857.076534,-2.24,1.27,apf
219134,,2456873.063802,0.69,1.26,apf
219134,,2456878.862025,-0.61,1.03,apf
219134,,2456894.923192,-9.14,1.18,apf
219134,,2456895.858783,-7.85,1.14,apf
219134,,2456898.792267,-8.78,1.33,apf
219134,,2456900.000119,-10.88,1.63,apf
219134,,2456915.846323,-0.61,1.44,apf
219134,,2456917.847490,-1.35,1.42,apf
219134,,2456941.842871,-11.46,1.71,apf
219134,,2457026.656131,2.32,1.44,apf
219134,,2457050.634530,-4.77,1.85,apf
219134,,2457052.657870,5.32,1.31,apf
219134,,2457058.816288,-2.93,1.69,apf
219134,,2457138.887084,-8.97,2.17,apf
219134,,2457140.968977,-6.33,1.44,apf
219134,,2457143.960259,-7.51,1.09,apf
219134,,2457152.046214,-11.66,1.03,apf
219134,,2457153.984889,-5.94,1.22,apf
219134,,2457158.865715,-4.61,1.79,apf
219134,,2457178.975693,-9.70,1.12,apf
219134,,2457179.666782,-13.64,1.20,apf
219134,,2457188.952918,-8.29,1.02,apf
219134,,2457189.790307,-7.74,1.06,apf
219134,,2457191.823727,-10.39,1.32,apf
219134,,2457193.784702,-5.46,1.05,apf
219134,,2457195.847847,-13.36,1.37,apf
219134,,2457196.857305,-7.34,1.08,apf
219134,,2457202.727224,-3.17,1.79,apf
219134,,2457204.607082,-4.58,1.23,apf
219134,,2457207.799755,0.05,1.23,apf
219134,,2457208.873035,2.00,1.15,apf
219134,,2457211.697706,-3.78,1.48,apf
219134,,2457218.050243,-7.02,1.35,apf
219134,,2457218.918737,-7.19,1.29,apf
219134,,2457220.809953,-5.36,1.25,apf
219134,,2457221.918089,-1.11,1.40,apf
219134,,2457222.966602,-7.82,1.30,apf
219134,,2457227.860070,-2.19,1.28,apf
219134,,2457230.044741,-4.88,1.27,apf
219134,,2457232.725477,-8.19,1.35,apf
219134,,2457233.861100,-0.89,1.32,apf
219134,,2457238.800726,-12.07,1.11,apf
219134,,2457243.911806,-8.34,1.02,apf
219134,,2457245.801424,-6.25,1.63,apf
219134,,2457247.857853,-9.35,1.17,apf
219134,,2457249.840033,-1.65,1.32,apf
219134,,2457252.971672,-2.17,1.55,apf
219134,,2457256.809609,-1.92,1.30,apf
219134,,2457258.812277,-9.39,1.51,apf
219134,,2457260.874716,-6.33,1.27,apf
219134,,2457262.952565,-3.98,1.48,apf
219134,,2457267.856424,-6.66,1.49,apf
219134,,2457271.827632,-7.21,1.27,apf
219134,,2457274.894983,-6.37,1.13,apf
219134,,2457292.556903,-7.71,1.23,apf
219134,,2457306.064352,-7.30,1.55,apf
219134,,2457309.067535,-4.66,2.44,apf
219134,,2457332.881086,-10.91,1.79,apf
219134,,2457337.972429,-10.80,1.27,apf
219134,,2457340.677765,-9.99,1.26,apf
219134,,2457354.634474,-5.87,1.85,apf
219134,,2457361.690765,-10.22,1.77,apf
219134,,2457560.850618,-11.14,2.07,apf
219134,,2457567.836174,1.66,1.86,apf
219134,,2457576.757304,-1.01,1.75,apf
219134,,2457581.958557,-1.09,1.57,apf
219134,,2457582.970108,0.07,1.81,apf
219134,,2457584.971980,-5.37,2.15,apf
219134,,2457586.971029,2.01,1.53,apf
219134,,2457587.969384,-0.75,1.98,apf
219134,,2457588.991201,-4.08,2.02,apf
219134,,2457591.968267,-4.52,1.54,apf
219134,,2457593.967303,-2.73,1.67,apf
219134,,2457603.951986,-11.19,1.77,apf
219134,,2457605.921895,-6.40,1.34,apf
219134,,2457608.938293,-10.56,1.55,apf
219134,,2457610.909472,-5.82,1.75,apf
219134,,2457613.864878,-3.49,1.64,apf
219134,,2457616.910295,-3.46,2.30,apf
219134,,2457617.873085,0.50,1.74,apf
219134,,2457618.894454,-4.48,1.63,apf
219134,,2457625.875806,2.32,1.74,apf
219134,,2457627.960491,0.21,1.62,apf
219134,,2457628.869094,2.91,1.74,apf
219134,,2457629.849899,2.01,1.66,apf
219134,,2457632.860380,2.17,1.70,apf
219134,,2457633.851692,1.04,1.74,apf
219134,,2457635.836178,-0.69,1.81,apf
219134,,2457637.860430,-5.34,1.68,apf
219134,,2457641.809374,-0.59,2.45,apf
219134,,2457643.843375,-6.76,1.66,apf
219134,,2457647.800124,-2.85,1.78,apf
219134,,2457648.842062,-2.28,1.60,apf
219134,,2457649.799611,-10.83,1.79,apf
219134,,2457668.663405,-0.52,2.05,apf
219134,,2457669.656191,-0.82,1.94,apf
219134,,2457670.627841,2.04,2.19,apf
219134,,2457674.870384,-2.60,2.13,apf
219134,,2457684.608244,-6.41,1.66,apf
219134,,2457685.670366,-1.19,2.49,apf
219134,,2457687.629179,-5.92,1.86,apf
219134,,2457694.943557,-4.07,1.67,apf
219134,,2457696.716280,-8.12,1.95,apf
219134,,2457698.703381,-8.61,1.70,apf
219134,,2457702.689772,-12.24,2.15,apf
219134,,2457705.576839,-10.21,2.11,apf
219134,,2457707.628910,-4.19,1.83,apf
219134,,2457717.637385,-6.34,1.64,apf
219134,,2457722.678262,3.01,1.70,apf
219134,,2457727.643292,-3.42,1.67,apf
219134,,2457745.689092,-10.67,2.05,apf
219134,,2457749.691973,-6.57,2.09,apf
219134,,2457751.652373,-1.63,2.15,apf
219134,,2457753.702592,0.73,1.71,apf
219134,,2457783.678681,4.17,1.76,apf
219134,,2457796.651825,5.16,1.93,apf
219134,,2457849.006230,-1.46,3.11,apf
219134,,2457853.963859,-2.00,1.82,apf
219134,,2457858.918666,1.87,2.44,apf
219134,,2457865.945964,2.14,1.80,apf
219134,,2457872.895264,0.43,1.94,apf
219134,,2457875.952801,-4.45,2.10,apf
219134,,2457877.942836,1.91,2.20,apf
219134,,2457881.885268,-9.40,2.06,apf
219134,,2457893.861305,-6.17,1.66,apf
219134,,2457894.879185,-3.03,2.09,apf
219134,,2457897.837528,0.58,1.80,apf
219134,,2457901.864159,-1.11,1.84,apf
219134,,2457909.774798,0.16,1.74,apf
219134,,2457911.781414,6.71,1.76,apf
219134,,2457917.824867,2.19,1.56,apf
219134,,2457918.833481,1.01,1.67,apf
219134,,2457919.832384,-3.28,1.77,apf
219134,,2457927.750843,-6.26,1.78,apf
219134,,2457930.688146,-7.12,1.46,apf
219134,,2457931.801822,-8.82,1.65,apf
219134,,2457933.802636,-5.11,1.47,apf
219134,,2457937.996721,-3.58,1.84,apf
219134,,2457941.748064,1.06,1.82,apf
219134,,2457961.923496,-3.27,2.52,apf
219134,,2457962.944409,0.45,2.04,apf
219134,,2457964.928316,6.64,2.13,apf
219134,,2457966.951586,5.22,1.97,apf
219134,,2457971.962805,-4.58,1.88,apf
219134,,2457972.926421,-6.05,1.82,apf
219134,,2457987.893218,2.45,1.84,apf
219134,,2457990.878920,1.14,1.46,apf
219134,,2457991.782293,3.86,1.79,apf
219134,,2457992.779084,7.56,1.75,apf
219134,,2457995.855683,3.47,2.24,apf
219134,,2457996.855631,2.90,2.06,apf
219134,,2457997.848920,7.87,1.32,apf
219134,,2458004.787735,2.94,1.91,apf
219134,,2458007.809364,8.88,2.58,apf
219134,,2458009.844462,8.49,2.38,apf
219134,,2458010.807049,11.05,2.00,apf
219134,,2458011.773883,9.55,1.80,apf
219134,,2458012.803184,8.13,2.40,apf
219134,,2458024.618652,-4.16,2.24,apf
219134,,2458025.722815,-1.69,1.80,apf
219134,,2458027.874550,-0.39,1.86,apf
219134,,2458041.667482,7.61,2.46,apf
219134,,2458042.708941,1.93,2.29,apf
219134,,2458088.613523,5.53,2.45,apf
219134,,2458094.629903,4.32,2.31,apf
219134,,2458115.664121,5.07,1.96,apf
219134,,2458131.680512,5.77,1.78,apf
219134,,2458155.655811,3.47,1.81,apf
219134,,2458159.609756,2.91,1.77,apf
219134,,2458205.994729,2.53,2.03,apf
219134,,2458208.009431,1.71,2.51,apf
219134,,2458230.892940,9.27,1.90,apf
219134,,2458233.963060,9.42,2.25,apf
219134,,2458240.865318,2.57,2.11,apf
219134,,2458241.919491,8.82,2.12,apf
219134,,2458244.812538,2.52,1.42,apf
219134,,2458247.914637,0.27,2.10,apf
219134,,2458248.882334,4.77,1.87,apf
219134,,2458250.853436,-4.12,2.29,apf
219134,,2458253.886944,-1.52,1.89,apf
219134,,2458256.840411,2.79,1.95,apf
219134,,2458260.797321,4.47,2.29,apf
219134,,2458261.875726,1.64,2.14,apf
219134,,2458267.859801,5.66,1.81,apf
219134,,2458270.789051,4.81,2.06,apf
219134,,2458283.847219,7.23,2.15,apf
219134,,2458285.795625,6.16,2.31,apf
219134,,2458288.812108,3.98,1.72,apf
219134,,2458289.780409,3.12,2.34,apf
219134,,2458291.754018,5.47,1.60,apf
219134,,2458294.794062,3.55,2.30,apf
219134,,2458299.840789,-1.65,1.24,apf
219134,,2458304.797964,6.97,1.63,apf
219134,,2458307.785747,3.78,1.75,apf
219134,,2458323.950225,11.39,2.08,apf
219134,,2458326.954537,5.28,2.20,apf
219134,,2458329.978674,5.40,1.48,apf
219134,,2458330.935984,5.29,2.08,apf
219134,,2458332.973538,3.38,1.58,apf
219134,,2458342.954528,-4.96,1.75,apf
219134,,2458356.875711,6.46,1.97,apf
219134,,2458359.909531,6.59,1.56,apf
219134,,2458368.819683,10.63,2.11,apf
219134,,2458372.793568,13.06,1.75,apf
219134,,2458376.861494,8.89,2.04,apf
219134,,2458378.869491,8.86,2.08,apf
219134,,2458379.842585,5.52,2.09,apf
219134,,2458387.666539,8.51,1.77,apf
219134,,2458389.754507,2.48,1.93,apf
219134,,2458398.686028,7.50,1.86,apf
219134,,2458399.648872,13.19,2.56,apf
219134,,2458400.653266,6.19,2.01,apf
219134,,2458405.636427,3.72,2.02,apf
219134,,2458410.681842,5.70,2.10,apf
219134,,2458418.690909,16.77,2.24,apf
219134,,2458425.589215,6.40,1.92,apf
219134,,2458448.689980,1.06,2.46,apf
219134,,2458488.624944,3.95,2.51,apf
219134,,2458586.963536,-0.70,1.41,apf
219134,,2458605.915941,5.09,1.65,apf
219134,,2458631.952086,-1.74,1.15,apf
219134,,2458635.076623,3.59,0.74,apf
219134,,2458637.776019,-3.26,1.53,apf
219134,,2458641.731750,1.16,1.87,apf
219134,,2458660.913118,1.94,1.77,apf
219134,,2458666.045387,1.77,1.24,apf
219134,,2458668.053655,3.83,1.39,apf
219134,,2458669.732217,9.73,1.11,apf
219134,,2458675.819620,-1.91,1.15,apf
219134,,2458676.800020,-4.85,1.25,apf
219134,,2458677.883254,-9.58,1.77,apf
219134,,2458681.940202,1.10,1.22,apf
219134,,2458682.566908,-0.35,1.07,apf
219134,,2458686.802329,-0.46,1.44,apf
219134,,2458688.799984,1.68,0.99,apf
219134,,2458690.798583,3.87,1.27,apf
219134,,2458694.807429,0.21,1.14,apf
219134,,2458695.706582,0.83,1.42,apf
219134,,2458715.845158,8.70,1.03,apf
219134,,2458719.820862,-1.99,0.98,apf
219134,,2458740.885361,7.10,1.74,apf
219134,,2458800.783940,2.97,1.73,apf
219134,,2458806.734620,4.24,1.84,apf
219134,,2453239.049646,-2.14,0.73,j
219134,,2453301.767951,-13.92,1.21,j
219134,,2453338.527545,-7.92,0.47,j
219134,,2453547.097642,-3.07,0.42,j
219134,,2453548.085364,-1.21,0.46,j
219134,,2453549.047694,-4.37,0.61,j
219134,,2453550.011643,-1.37,0.36,j
219134,,2453551.237085,-5.43,0.36,j
219134,,2453552.122783,-6.85,0.41,j
219134,,2453571.063438,-4.43,0.44,j
219134,,2453692.881723,8.05,0.66,j
219134,,2453693.808199,3.38,0.40,j
219134,,2453694.738512,3.46,0.40,j
219134,,2453695.923582,6.99,0.56,j
219134,,2453696.708181,5.23,0.55,j
219134,,2453724.725183,5.03,0.61,j
219134,,2453746.714200,10.72,0.58,j
219134,,2453748.610340,13.78,0.59,j
219134,,2453749.848032,11.99,0.61,j
219134,,2453750.862141,12.39,0.59,j
219134,,2453751.833167,18.35,0.57,j
219134,,2453752.827586,12.33,0.63,j
219134,,2453753.705426,13.36,0.61,j
219134,,2453926.238441,5.28,0.47,j
219134,,2453982.955284,8.36,0.52,j
219134,,2454084.867209,12.29,0.61,j
219134,,2454085.907354,13.39,0.60,j
219134,,2454248.096748,-1.08,1.08,j
219134,,2454249.091238,2.36,1.04,j
219134,,2454250.128495,1.11,1.12,j
219134,,2454251.118519,-6.20,0.98,j
219134,,2454279.090417,-0.64,1.00,j
219134,,2454280.127778,5.28,0.86,j
219134,,2454286.131655,-0.78,0.99,j
219134,,2454295.102847,0.38,0.85,j
219134,,2454305.122633,5.04,0.72,j
219134,,2454306.000877,1.54,0.67,j
219134,,2454307.209288,2.99,0.64,j
219134,,2454308.106644,9.10,0.92,j
219134,,2454309.017378,8.23,0.67,j
219134,,2454310.017712,9.02,0.71,j
219134,,2454310.996318,11.36,0.63,j
219134,,2454311.992144,12.82,0.64,j
219134,,2454312.922109,10.61,0.71,j
219134,,2454313.979101,12.33,0.67,j
219134,,2454315.162793,11.52,0.60,j
219134,,2454336.164784,2.47,0.72,j
219134,,2454339.048796,5.77,0.94,j
219134,,2454344.043808,-5.17,1.02,j
219134,,2454396.760579,1.50,1.08,j
219134,,2454397.798322,1.81,1.01,j
219134,,2454398.803403,5.61,0.80,j
219134,,2454636.112373,6.57,0.91,j
219134,,2454667.985104,-12.58,0.92,j
219134,,2454674.113391,-6.01,0.85,j
219134,,2454674.995718,-4.50,0.98,j
219134,,2454675.995060,4.77,0.59,j
219134,,2454702.107870,-2.26,0.96,j
219134,,2454703.998429,0.55,1.06,j
219134,,2454725.047326,6.10,1.17,j
219134,,2454778.861528,3.05,1.21,j
219134,,2454810.789630,-8.54,1.04,j
219134,,2454819.861470,0.57,1.20,j
219134,,2454984.121970,-9.70,1.08,j
219134,,2455016.092528,-7.99,0.89,j
219134,,2455022.125931,-8.41,0.42,j
219134,,2455022.948108,-8.56,0.46,j
219134,,2455027.036464,-16.04,1.00,j
219134,,2455043.080665,-8.31,1.05,j
219134,,2455050.156910,-3.01,0.42,j
219134,,2455050.950997,-2.67,0.90,j
219134,,2455082.150621,-18.10,0.60,j
219134,,2455109.869786,-5.44,1.12,j
219134,,2455134.897590,-9.23,1.17,j
219134,,2455143.724070,-0.54,0.47,j
219134,,2455167.806929,-11.93,0.49,j
219134,,2455172.801120,-21.01,1.14,j
219134,,2455188.811388,-2.56,1.11,j
219134,,2455190.696401,-6.30,1.10,j
219134,,2455192.693177,-7.10,1.11,j
219134,,2455196.691135,-10.66,1.11,j
219134,,2455197.691830,-9.32,1.51,j
219134,,2455198.688498,-10.20,1.06,j
219134,,2455200.843311,-8.58,0.47,j
219134,,2455202.845747,-10.21,0.68,j
219134,,2455371.032666,-8.23,0.46,j
219134,,2455374.090442,-10.04,0.97,j
219134,,2455396.161118,-11.29,0.65,j
219134,,2455402.134567,-12.02,1.07,j
219134,,2455404.938567,-17.02,1.06,j
219134,,2455407.137439,-16.68,0.79,j
219134,,2455463.187023,-12.57,0.44,j
219134,,2455463.942857,-16.06,0.38,j
219134,,2455464.963957,-16.29,1.01,j
219134,,2455490.875017,-12.74,1.07,j
219134,,2455515.831060,-4.70,0.47,j
219134,,2455517.018207,-4.48,0.43,j
219134,,2455517.856552,0.34,0.42,j
219134,,2455528.835115,-0.42,1.08,j
219134,,2455542.681005,-10.40,0.99,j
219134,,2455544.679587,-6.71,1.18,j
219134,,2455549.817269,-4.94,0.46,j
219134,,2455578.815858,-3.41,0.48,j
219134,,2455579.652173,-3.73,0.47,j
219134,,2455721.180431,2.66,0.77,j
219134,,2455732.047595,-3.41,0.90,j
219134,,2455750.051558,2.65,0.45,j
219134,,2455750.907502,-0.56,0.54,j
219134,,2455752.129260,0.36,0.91,j
219134,,2455753.117001,4.34,1.08,j
219134,,2455770.095772,-4.35,1.00,j
219134,,2455825.859321,-10.57,0.46,j
219134,,2455839.959256,2.42,0.53,j
219134,,2455840.761111,0.00,0.49,j
219134,,2455875.175209,-3.45,0.47,j
219134,,2455875.823341,-0.69,0.48,j
219134,,2455876.707923,-0.45,0.62,j
219134,,2455910.711673,2.46,0.42,j
219134,,2455911.884668,-3.59,0.42,j
219134,,2455912.854510,-0.79,0.47,j
219134,,2456102.132961,-2.21,0.91,j
219134,,2456114.101900,-0.31,1.05,j
219134,,2456117.942216,1.84,0.41,j
219134,,2456164.094499,1.11,1.06,j
219134,,2456169.782472,4.39,0.70,j
219134,,2456194.993553,-7.07,1.10,j
219134,,2456209.968897,-4.31,1.18,j
219134,,2456434.080854,-6.71,0.51,j
219134,,2456469.131688,-2.98,0.98,j
219134,,2456474.115082,-4.23,0.94,j
219134,,2456490.137450,-6.38,1.00,j
219134,,2456513.128569,-0.50,1.05,j
219134,,2456514.102347,-2.81,0.98,j
219134,,2456519.058178,0.54,0.95,j
219134,,2456522.101407,-3.84,1.09,j
219134,,2456529.835516,-0.64,1.14,j
219134,,2456533.060111,-5.58,1.06,j
219134,,2456548.063455,1.29,1.14,j
219134,,2456588.943278,-7.41,1.12,j
219134,,2456613.801364,-7.04,1.07,j
219134,,2456637.717950,2.32,1.10,j
219134,,2456674.692579,-0.95,1.12,j
219134,,2456676.827053,-5.27,0.45,j
219134,,2456842.051572,-6.16,0.55,j
219134,,2456854.135504,-13.53,0.90,j
219134,,2456860.966801,-15.61,0.62,j
219134,,2456882.104294,-6.31,0.92,j
219134,,2456907.047607,-13.45,0.97,j
219134,,2456907.808479,-14.14,1.11,j
219134,,2456908.947200,-12.50,1.13,j
219134,,2456912.808358,-7.34,1.19,j
219134,,2456913.802637,-6.56,1.20,j
219134,,2457000.608795,-15.77,0.58,j
219134,,2457002.723692,-13.24,0.52,j
219134,,2457057.699207,-6.15,0.62,j
219134,,2457058.700913,-7.73,0.63,j
219134,,2457061.774127,-8.74,0.65,j
219134,,2457180.190407,-13.87,0.56,j
219134,,2457201.202975,-11.91,0.50,j
219134,,2457202.131426,-7.05,0.52,j
219134,,2457208.057278,-7.61,0.56,j
219134,,2457234.039657,-6.60,0.51,j
219134,,2457237.049424,-8.31,0.50,j
219134,,2457240.109435,-5.57,0.93,j
219134,,2457241.116164,-13.45,0.51,j
219134,,2457242.956558,-6.22,0.59,j
219134,,2457246.880228,-7.06,0.59,j
219134,,2457285.898455,-12.34,0.69,j
219134,,2457290.882634,-17.03,0.67,j
219134,,2457339.834062,-6.98,0.67,j
219134,,2457582.043439,-6.45,0.51,j
219134,,2457583.278617,-5.27,0.57,j
219134,,2457584.126407,-7.14,0.51,j
219134,,2457633.837667,-0.45,0.71,j
219134,,2457651.893697,-13.80,0.62,j
219134,,2457713.678154,-0.35,0.77,j
219134,,2457913.049407,-2.13,0.57,j
219134,,2457934.252822,-9.21,0.10,j
219134,,2457993.950188,3.99,0.61,j
219134,,2458096.607451,4.74,0.63,j
219134,,2458302.059421,-3.69,1.03,j
219134,,2458332.031831,12.17,1.00,j
219134,,2458346.923766,5.60,1.84,j
219134,,2458395.933772,0.96,0.64,j
219134,,2458491.835834,-1.52,0.60,j
219134,,2458647.054657,4.58,0.61,j
219134,,2458649.070932,4.33,0.51,j
219134,,2450395.855026,8.91,0.51,k
219134,,2448906.718200,-22.31,8.88,lick
219134,,2448934.672251,-18.60,7.04,lick
219134,,2448935.611456,-25.20,7.95,lick
219134,,2449172.953200,6.74,8.66,lick
219134,,2449200.904100,-6.76,7.94,lick
219134,,2449255.720200,3.31,9.49,lick
219134,,2449298.642351,-21.18,6.65,lick
219134,,2449588.009941,4.77,6.48,lick
219134,,2449589.890022,-2.72,6.10,lick
219134,,2449601.761864,-14.70,5.87,lick
219134,,2449623.736700,-7.50,7.96,lick
219134,,2449914.983403,16.05,3.55,lick
219134,,2449942.012253,9.72,2.20,lick
219134,,2449983.640691,19.24,2.66,lick
219134,,2450011.739475,7.86,2.67,lick
219134,,2450048.636090,19.67,3.73,lick
219134,,2450089.608398,10.09,3.05,lick
219134,,2450299.925781,10.84,2.43,lick
219134,,2450326.820312,8.45,2.42,lick
219134,,2450421.697266,6.57,2.93,lick
219134,,2450437.631836,0.62,2.75,lick
219134,,2450614.107090,1.16,2.07,lick
219134,,2450640.796729,2.83,1.71,lick
219134,,2450645.976562,3.52,3.54,lick
219134,,2450655.878496,7.57,2.03,lick
219134,,2450657.006836,4.36,2.61,lick
219134,,2450681.947266,-10.20,2.59,lick
219134,,2450767.644531,2.13,3.13,lick
219134,,2450793.660156,-0.80,2.85,lick
219134,,2450794.708984,-2.73,5.55,lick
219134,,2450980.030507,12.23,3.37,lick
219134,,2451014.961914,-3.46,4.37,lick
219134,,2451044.958984,12.02,4.26,lick
219134,,2451130.648438,-0.96,4.94,lick
219134,,2451146.592773,9.22,5.18,lick
219134,,2451364.896484,10.80,4.17,lick
219134,,2451416.988281,5.35,4.29,lick
219134,,2451427.869141,-2.68,5.52,lick
219134,,2451482.693359,5.66,5.61,lick
219134,,2451842.689453,10.07,4.86,lick
219134,,2452128.878691,11.34,6.78,lick
219134,,2452188.748047,8.04,5.00,lick
219134,,2452189.826046,5.78,3.09,lick
219134,,2452232.662288,-1.74,2.17,lick
219134,,2453247.874023,3.32,3.81,lick
219134,,2453316.826331,-5.66,2.66,lick
